City,PM2.5,PM10,NO2,O3,PM25,Temperature,Humidity,Wind,Rain
Ahmedabad,16.9,41.3,2.7,106.0,,,,,
Ahmedabad,16.9,41.3,2.7,106.0,,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,41.3,2.7,106.0,16.9,,,,
Ahmedabad,,,,,,34.9,50.0,10.4,0.0
Ahmedabad,16.9,41.3,2.7,106.0,,34.9,50.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.3,48.0,10.4,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,15.7,29.2,1.6,113.0,,33.6,50.0,11.4,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.4,48.0,10.3,0.0
Ahmedabad,19.4,50.4,5.5,102.0,,35.4,48.0,10.3,0.0
Ahmedabad,13.7,26.4,3.5,92.0,,35.4,48.0,10.3,0.0
Ahmedabad,13.7,26.4,3.5,92.0,,35.4,48.0,10.3,0.0
Ahmedabad,13.7,26.4,3.5,92.0,,35.4,48.0,10.3,0.0
